Peso;Nome
1;Praca Largo da Encruzilhada
33;Avenida Recife
2;375
5;Rua Dom Bosco
1;Rua Leoncio Rodrigues
1;Rua Sa e Souza
1;Rua Delfim
3;Cais do Apolo
6;Rua Joao Ivo da Silva
9;Estrada dos Remedios
7;Avenida Liberdade
1;Rua Professor Aurelio de Castro Cavalcanti
26;PE-007
2;Rua Oliveira Fonseca
19;Avenida Cruz Cabuga
3;Rua Rio Xingu
19;Avenida Cruz Cabuga
19;Avenida Cruz Cabuga
26;PE-007
2;Rua Joaquim Nabuco
1;Rua Alegre
2;Rua da Concordia
1;Rua Tobias Barreto
1;Avenida Professor Luis Freire
4;Avenida Mauricio de Nassau
30;Avenida Caxanga
1;Avenida Parnamirim
42;Avenida Norte Miguel Arraes de Alencar
1;Rua Gregorio Junior
2;Avenida Cidade de Monteiro
5;Rua Barao de Souza Leao
3;Rua Capitao Lima
3;Rua Marques de Marica
2;Rua Falcao de Lacerda
26;PE-007
19;Avenida Cruz Cabuga
36;Avenida Governador Agamenon Magalhaes
1;Rua Nestor Silva
3;Rua Itajai
39;Avenida Beberibe
33;Avenida Recife
3;Rua Carlos Gomes
26;PE-007
3;Rua Conde de Iraja
14;Estrada de Belem
36;Avenida Governador Agamenon Magalhaes
26;PE-007
6;Rua Leandro Barreto
16;Avenida Sul Governador Cid Sampaio
6;Rua Uriel de Holanda
3;317
36;Avenida Governador Agamenon Magalhaes
1;2530
36;Avenida Governador Agamenon Magalhaes
25;Avenida Engenheiro Abdias de Carvalho
5;Rua Dom Bosco
2;Rua Padre Bernadino Pessoa
2;Rua Princesa Isabel
1;Rua Ana Neri
3;Avenida Engenho Serra Verde
1;Rua Saturnino Meireles
4;Avenida Visconde de Suassuna
39;Avenida Beberibe
1;Rua Doutor Joao Lacerda
14;Estrada de Belem
1;Boa Viagem
1;Rua Firmino de Figueiredo
3;Rua Real da Torre
4;Avenida Afonso Olindense
2;Rua Jornalista Edson Regis
6;Rua Joao Ivo da Silva
5;Rua Doutor Alvaro Ferraz
2;1141
33;Avenida Recife
1;Rua da Bela Vista
16;Avenida Dezessete de Agosto
4;Rua Vasco da Gama
16;Avenida Dois Rios
