Peso;Nome
7;Rua Padre Lemos
10;PE-005
16;Avenida Sul Governador Cid Sampaio
26;PE-007
8;Rua Antonio Falcao
30;PE-008
2;454
39;Avenida Beberibe
3;PE-001
25;Avenida Engenheiro Abdias de Carvalho
30;Avenida Caxanga
25;Avenida Engenheiro Abdias de Carvalho
26;PE-007
39;Avenida Beberibe
3;Rua dos Coelhos
33;Avenida Recife
9;Avenida Antonio de Goes
2;Rua Tomaz Gonzaga
5;Avenida Maria Irene
42;Avenida Norte Miguel Arraes de Alencar
3;Avenida Pinheiros
39;Avenida Beberibe
13;Avenida General San Martin
1;Avenida Professor Artur de Sa
30;PE-008
1;Rua Doutor Luiz Inacio Pessoa de Melo
1;280
9;Avenida Antonio de Goes
4;Rua Jose Osorio
13;Avenida General San Martin
1;1395
8;Rua Visconde de Jequitinhonha
20;Avenida Doutor Jose Rufino
2;Rua Doutor Raposo Pinto
3;Rua Real da Torre
7;Avenida Conde da Boa Vista
30;PE-008
1;Rua Nogueira Lima
42;Avenida Norte Miguel Arraes de Alencar
6;Avenida Professor Jose dos Anjos
13;Avenida Domingos Ferreira
3;Cais Santa Rita
2;Rua Rio Tapado
5;Rua de Apipucos
4;Rua Sao Bento
20;Avenida Doutor Jose Rufino
9;Estrada dos Remedios
42;Avenida Norte Miguel Arraes de Alencar
2;Rua Aprigio Guimaraes
1;Avenida Consul Vilares Fragoso
1;Praca do Derby
1;Rua Professor Joao Medeiros
1;Rua Manuel de Medeiros
3;Rua Jeronimo Vilela
8;Rua Arquiteto Luiz Nunes
2;Rua do Paissandu
13;Avenida Domingos Ferreira
19;Avenida Cruz Cabuga
1;1385
20;Avenida Doutor Jose Rufino
1;Avenida Frei Matias Teves
1;Rua Sao Joao
3;Avenida Luis Correa de Brito
25;Avenida Engenheiro Abdias de Carvalho
3;Rua Nova Descoberta
3;Rua Jose da Silva Lucena
33;Avenida Recife
8;Rua Gomes Taborda
5;Rua Sao Miguel
42;Avenida Norte Miguel Arraes de Alencar
42;Avenida Norte Miguel Arraes de Alencar
42;Avenida Norte Miguel Arraes de Alencar
1;Rua das Creoulas
1;Rua Severino Bernardino Pereira
3;Rua Pintor Antonio de Albuquerque
36;Avenida Governador Agamenon Magalhaes
2;Rua Gastao Vidigal
1;Rua Professor Trajano de Mendonca
16;Avenida Dois Rios
1;Rua Delmiro Gouveia
7;Avenida Liberdade
1;Ponte Governador Paulo Guerra
12;Rua Vinte e Um de Abril
25;Avenida Engenheiro Abdias de Carvalho
13;Avenida General San Martin
1;Praca Professor Barreto Campelo
2;102
36;Avenida Governador Agamenon Magalhaes
1;Rua General Abreu e Lima
14;Estrada de Belem
1;Rua Irene Ramos Gomes de Matos
25;Avenida Engenheiro Abdias de Carvalho
1;Rua Doutor Joao Elisio
30;PE-008
25;Avenida Engenheiro Abdias de Carvalho
4;Rua Jose Osorio
5;Estrada do Bongi
2;Rua Padre Carapuceiro
36;Avenida Governador Agamenon Magalhaes
5;Rua Sao Miguel
2;1141
36;Avenida Governador Agamenon Magalhaes
30;Avenida Caxanga
12;Rua Vinte e Um de Abril
1;Avenida Estancia
1;269
7;Rua Conego Barata
39;Avenida Beberibe
6;Rua Uriel de Holanda
42;Avenida Norte Miguel Arraes de Alencar
1;Avenida Bicentenario da Revolucao Francesa
42;Avenida Norte Miguel Arraes de Alencar
13;Avenida General San Martin
16;Avenida Dezessete de Agosto
1;Rua Quarenta e Oito
1;Rua Ipojuca
42;Avenida Norte Miguel Arraes de Alencar
9;Avenida Antonio de Goes
42;Avenida Norte Miguel Arraes de Alencar
2;Rua Missionario Joel Carlson
1;Rua Gustavo Barrozo
20;Avenida Doutor Jose Rufino
3;Rua Nova Descoberta
16;Avenida Dezessete de Agosto
1;Viaduto Engenheiro Roberto Pereira de Carvalho
1;Rua Doutor Eudes Costa
1;Rua Capitao Zuzinha
2;Avenida Cidade de Monteiro
16;Avenida Dezessete de Agosto
25;Avenida Engenheiro Abdias de Carvalho
25;Avenida Engenheiro Abdias de Carvalho
36;Avenida Governador Agamenon Magalhaes
2;Rua Jornalista Edson Regis
2;Rua do Pombal
10;Rua Benfica
39;Avenida Beberibe
1;Rua Adolfo Faro
39;Avenida Beberibe
13;Avenida General San Martin
7;Avenida Conde da Boa Vista
1;Rua Nova Palmeira
36;Avenida Governador Agamenon Magalhaes
1;Rua Sao Nicolau
1;1675
5;Avenida Conselheiro Aguiar
6;Rua Leandro Barreto
7;Avenida Liberdade
2;Rua Bahia
30;Avenida Caxanga
13;Avenida General San Martin
20;Avenida Doutor Jose Rufino
1;Rua Santa Izabel
1;Avenida Governador Paulo Pessoa Guerra
1;Rua Adalgisa
12;Rua Vinte e Um de Abril
1;137
2;Rua Corrego do Euclides
1;Rua Marechal Manoel Luis Osorio
19;Avenida Cruz Cabuga
2;Rua Oliveira Fonseca
19;Avenida Cruz Cabuga
26;PE-007
1;457
13;Avenida Domingos Ferreira
42;Avenida Norte Miguel Arraes de Alencar
7;Avenida Liberdade
2;Recife
9;Estrada dos Remedios
7;Rua Conego Barata
33;Avenida Recife
1;Rua Barao de Goiana
19;Avenida Cruz Cabuga
1;Avenida Agamenon Magalhaes
1;1A Travessa Doutor Tome Dias
33;Avenida Recife
1;Rua Claudio Brotherhood
6;Rua Leandro Barreto
5;Rua Sao Miguel
4;Avenida Afonso Olindense
5;Rua Sao Miguel
36;Avenida Governador Agamenon Magalhaes
26;PE-007
42;Avenida Norte Miguel Arraes de Alencar
1;Avenida Ministro Apolonio Sales
1;Rua Dom Joao VI
33;Avenida Recife
1;325
30;Avenida Caxanga
12;Rua Vinte e Um de Abril
2;Rua Tomaz Gonzaga
1;Praca da Convencao
1;357
14;Estrada de Belem
2;Avenida Agostinho Gomes
16;Avenida Dezessete de Agosto
1;Rua Desenhista Eulino Santos
11;Avenida Boa Viagem
42;Avenida Norte Miguel Arraes de Alencar
1;Rua Bruno Veloso
6;Rua Jose Bonifacio
39;Avenida Beberibe
30;PE-008
16;Avenida Dezessete de Agosto
36;Avenida Governador Agamenon Magalhaes
11;Avenida Boa Viagem
30;Avenida Caxanga
1;Rua Professora Lucy Alvarez
33;Avenida Recife
1;72
4;Avenida Rui Barbosa
1;Rua Zeferino Agra
33;Avenida Recife
1;Rua Comandante Antonio Manhaes de Matos
4;Rua Sargento Silvino de Macedo
1;Rua Rio Moxoto
3;Rua dos Coelhos
1;Praca Sergio Loreto
4;Avenida Mauricio de Nassau
42;Avenida Norte Miguel Arraes de Alencar
